Getting data for 2025-03-03 00:00:00
Getting data for 2025-03-04 00:00:00
Getting data for 2025-03-05 00:00:00
Getting data for 2025-03-06 00:00:00
Getting data for 2025-03-07 00:00:00
Getting data for 2025-03-08 00:00:00
Getting data for 2025-03-09 00:00:00
Getting data for 2025-03-10 00:00:00
Getting data for 2025-03-11 00:00:00
Getting data for 2025-03-12 00:00:00
Getting data for 2025-03-13 00:00:00
Getting data for 2025-03-14 00:00:00
Getting data for 2025-03-15 00:00:00
Getting data for 2025-03-16 00:00:00
Getting data for 2025-03-17 00:00:00
Getting data for 2025-03-18 00:00:00
Getting data for 2025-03-19 00:00:00
Getting data for 2025-03-20 00:00:00
Getting data for 2025-03-21 00:00:00
Getting data for 2025-03-22 00:00:00
Getting data for 2025-03-23 00:00:00
Getting data for 2025-03-24 00:00:00
Getting data for 2025-03-25 00:00:00
Getting data for 2025-03-26 00:00:00
Getting data for 2025-03-27 00:00:00
Getting data for 2025-03-28 00:00:00
Getting data for 2025-03-29 00:00:00
Getting data for 2025-03-30 00:00:00
Getting data for 2025-03-31 00:00:00
1 - Basic features done
2 - Ratio features done
3 - Imbalance features done
4 - Rolling mean and std features done
5 - Diff features done
6 - Prev ref_prices features done
7 - Changes compared to prev imbalance features done
8 - MACD features done
252
Starting for w80_False with mul=1
80: 53m40sec done
80: 53m50sec done
80: 54m0sec done
80: 54m10sec done
80: 54m20sec done
80: 54m30sec done
80: 54m40sec done
80: 54m50sec done
[LightGBM] [Info] Auto-choosing row-wise multi-threading, the overhead of testing was 0.268240 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 60530
[LightGBM] [Info] Number of data points in the train set: 2108400, number of used features: 247
[LightGBM] [Info] Start training from score 71.889999
Training until validation scores don't improve for 100 rounds
[10]	train's l1: 61.3909	test's l1: 61.3365
[20]	train's l1: 39.8165	test's l1: 39.8811
[30]	train's l1: 26.4536	test's l1: 26.5578
[40]	train's l1: 18.2773	test's l1: 18.6222
[50]	train's l1: 11.1005	test's l1: 11.3964
[60]	train's l1: 7.77467	test's l1: 8.17902
[70]	train's l1: 6.3901	test's l1: 6.81128
[80]	train's l1: 5.74784	test's l1: 6.17454
[90]	train's l1: 4.57283	test's l1: 5.17159
[100]	train's l1: 4.23691	test's l1: 4.87375
[110]	train's l1: 4.10633	test's l1: 4.77823
[120]	train's l1: 4.04404	test's l1: 4.69552
[130]	train's l1: 3.95689	test's l1: 4.61765
[140]	train's l1: 3.64804	test's l1: 4.37572
[150]	train's l1: 3.63471	test's l1: 4.36764
[160]	train's l1: 3.43121	test's l1: 4.20819
[170]	train's l1: 3.38909	test's l1: 4.18145
[180]	train's l1: 3.37245	test's l1: 4.16895
[190]	train's l1: 3.31289	test's l1: 4.10937
[200]	train's l1: 3.30437	test's l1: 4.09845
[210]	train's l1: 3.23745	test's l1: 4.06304
[220]	train's l1: 3.20504	test's l1: 4.05048
[230]	train's l1: 3.18976	test's l1: 4.03629
[240]	train's l1: 3.17626	test's l1: 4.02634
[250]	train's l1: 3.17504	test's l1: 4.02603
[260]	train's l1: 3.05248	test's l1: 3.90857
[270]	train's l1: 3.00138	test's l1: 3.88566
[280]	train's l1: 2.90116	test's l1: 3.80823
[290]	train's l1: 2.89356	test's l1: 3.80185
[300]	train's l1: 2.89193	test's l1: 3.80102
[310]	train's l1: 2.89029	test's l1: 3.80119
[320]	train's l1: 2.88831	test's l1: 3.79901
[330]	train's l1: 2.8866	test's l1: 3.79923
[340]	train's l1: 2.88595	test's l1: 3.79882
[350]	train's l1: 2.81798	test's l1: 3.78879
[360]	train's l1: 2.81127	test's l1: 3.78492
[370]	train's l1: 2.80771	test's l1: 3.78442
