0
1
2
3
4
5
6
0
1
2
3
4
5
6
0
1
2
3
4
5
6
0
1
2
3
4
5
6
0
Starting for w20_False with mul=4
20: 54m40sec done
20: 54m50sec done
[LightGBM] [Info] Auto-choosing row-wise multi-threading, the overhead of testing was 0.343273 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 60530
[LightGBM] [Info] Number of data points in the train set: 2612400, number of used features: 247
[LightGBM] [Info] Start training from score 71.889999
Training until validation scores don't improve for 100 rounds
[10]	train's l1: 61.4541	test's l1: 61.4
[20]	train's l1: 39.8923	test's l1: 39.9037
[30]	train's l1: 26.4861	test's l1: 26.5471
[40]	train's l1: 18.2336	test's l1: 18.5392
[50]	train's l1: 11.0624	test's l1: 11.292
[60]	train's l1: 7.82277	test's l1: 8.03448
[70]	train's l1: 6.3266	test's l1: 6.76727
[80]	train's l1: 5.17749	test's l1: 5.6783
[90]	train's l1: 4.45291	test's l1: 5.08775
[100]	train's l1: 3.89062	test's l1: 4.62539
[110]	train's l1: 3.82275	test's l1: 4.54024
[120]	train's l1: 3.57166	test's l1: 4.27578
[130]	train's l1: 3.35205	test's l1: 4.10516
[140]	train's l1: 3.29728	test's l1: 4.06355
[150]	train's l1: 3.2658	test's l1: 4.03471
[160]	train's l1: 3.20475	test's l1: 4.00856
[170]	train's l1: 3.17423	test's l1: 3.9805
[180]	train's l1: 3.1388	test's l1: 3.96682
[190]	train's l1: 3.09571	test's l1: 3.92257
[200]	train's l1: 2.99142	test's l1: 3.85242
[210]	train's l1: 2.83983	test's l1: 3.7458
[220]	train's l1: 2.77089	test's l1: 3.71666
[230]	train's l1: 2.76997	test's l1: 3.71635
[240]	train's l1: 2.75618	test's l1: 3.71344
[250]	train's l1: 2.75058	test's l1: 3.71121
[260]	train's l1: 2.74429	test's l1: 3.70605
[270]	train's l1: 2.74295	test's l1: 3.70506
[280]	train's l1: 2.71748	test's l1: 3.69499
[290]	train's l1: 2.71298	test's l1: 3.69182
[300]	train's l1: 2.7047	test's l1: 3.68384
[310]	train's l1: 2.70273	test's l1: 3.68221
[320]	train's l1: 2.69135	test's l1: 3.67632
[330]	train's l1: 2.68675	test's l1: 3.67336
[340]	train's l1: 2.68053	test's l1: 3.6698
[350]	train's l1: 2.67617	test's l1: 3.66475
[360]	train's l1: 2.66728	test's l1: 3.66023
[370]	train's l1: 2.65206	test's l1: 3.65519
[380]	train's l1: 2.64991	test's l1: 3.65383
[390]	train's l1: 2.64655	test's l1: 3.65162
[400]	train's l1: 2.63958	test's l1: 3.64591
[410]	train's l1: 2.63614	test's l1: 3.64488
[420]	train's l1: 2.614	test's l1: 3.63856
[430]	train's l1: 2.61387	test's l1: 3.63853
[440]	train's l1: 2.56201	test's l1: 3.61103
