rolling_window_size,width,mae
1,20,4.0053
1,40,3.54751
1,50,3.60504
1,60,3.85289
1,80,3.24675
1,100,3.52312
1,120,3.41014
1,140,3.64518
1,150,3.55667
1,160,3.81023
1,180,4.09466
1,200,4.24481
1,220,3.94501
1,240,3.60597
1,250,4.09501
1,260,4.05523
1,280,3.71065
1,300,4.56701
2,20,3.63147
2,40,3.35509
2,50,3.44499
2,60,3.23998
2,80,3.54351
2,100,3.56528
2,120,3.66585
2,140,3.35127
2,150,3.85527
2,160,3.64947
2,180,3.58271
2,200,3.64853
2,220,3.57718
2,240,3.71379
2,250,4.12008
2,260,4.03633
2,280,3.84234
2,300,4.24728
3,20,3.77037
3,40,3.41172
3,50,3.63052
3,60,3.32431
3,80,3.38342
3,100,3.7386
3,120,3.42676
3,140,3.37894
3,150,3.79027
3,160,3.76442
3,180,3.6132
3,200,4.05707
3,220,3.79829
3,240,3.54255
3,250,4.01441
3,260,4.13009
3,280,3.92791
3,300,4.43444
4,20,3.2128
4,40,3.22886
4,50,3.48999
4,60,3.23337
4,80,3.4885
4,100,3.52404
4,120,3.33753
4,140,3.21966
4,150,3.75193
4,160,3.85999
4,180,3.33918
4,200,3.97719
4,220,3.86075
4,240,3.42969
4,250,3.91586
4,260,3.91416
4,280,3.93258
4,300,4.55199
5,20,3.54062
5,40,3.10777
5,50,3.44676
5,60,3.32601
5,80,3.43545
5,100,3.47424
5,120,3.66817
5,140,3.36922
5,150,3.59449
5,160,4.11983
5,180,3.51478
5,200,3.81492
5,220,3.6681
5,240,4.12318
5,250,4.3373
5,260,4.29704
5,280,3.8729
5,300,4.44291
6,20,3.44632
6,40,3.2901
6,50,3.09645
6,60,3.35873
6,80,3.21777
6,100,3.44812
6,120,3.63511
6,140,3.54726
6,150,3.67948
6,160,3.48029
6,180,3.71603
6,200,4.02771
6,220,4.03087
6,240,3.75429
6,250,3.73674
6,260,4.20148
6,280,4.00347
6,300,4.32644
7,20,3.604
7,40,3.02753
7,50,3.55619
7,60,3.02082
7,80,3.35522
7,100,3.32786
7,120,3.6648
7,140,3.51385
7,150,3.65781
7,160,3.50679
7,180,3.59339
7,200,3.80022
7,220,3.7316
7,240,3.33759
7,250,4.00463
7,260,4.5822
7,280,3.89944
7,300,4.56118
8,20,3.62655
8,40,3.24796
8,50,3.36054
8,60,3.44055
8,80,3.54494
8,100,2.9509
8,120,3.62447
8,140,3.45454
8,150,3.60466
8,160,3.71659
8,180,3.31558
8,200,4.08992
8,220,3.90879
8,240,3.4184
8,250,3.56396
8,260,3.96221
8,280,3.82556
8,300,4.16406
9,20,
9,40,
9,50,3.36258
9,60,
9,80,
9,100,3.46195
9,120,
9,140,
9,150,3.94753
9,160,
9,180,
9,200,4.12396
9,220,
9,240,
9,250,3.96716
9,260,
9,280,
9,300,4.31094
10,50,3.42245
10,100,3.38941
10,150,3.82778
10,200,4.03025
10,250,4.14248
10,300,4.48297
